# schema=mevix.mev-1253.lock-pairs.v1
# candidate_commit=786f9ada1889afc92aa3f7d6fefcd0022eec4fa4
# candidate_tree=9c0276f17b64e0a3b021df16ca5985acf7695105
# lock_sha256=058e79648f2a43f0d328d453a987fdde5044d943af11ad4898801b379760a943
name	version	scope	direct
katex	0.16.47	prod	-
lightningcss	1.33.0	dev	-
lightningcss-android-arm64	1.33.0	dev	-
lightningcss-darwin-arm64	1.33.0	dev	-
lightningcss-darwin-x64	1.33.0	dev	-
lightningcss-freebsd-x64	1.33.0	dev	-
lightningcss-linux-arm-gnueabihf	1.33.0	dev	-
lightningcss-linux-arm64-gnu	1.33.0	dev	-
lightningcss-linux-arm64-musl	1.33.0	dev	-
lightningcss-linux-x64-gnu	1.33.0	dev	-
lightningcss-linux-x64-musl	1.33.0	dev	-
lightningcss-win32-arm64-msvc	1.33.0	dev	-
lightningcss-win32-x64-msvc	1.33.0	dev	-
lodash	4.17.21	prod	-
lodash.debounce	4.0.8	prod	-
longest-streak	3.1.0	prod	-
loose-envify	1.4.0	prod	-
lowlight	1.20.0	prod	-
lru-cache	11.5.3	dev	-
luxon	3.7.1	prod	-
markdown-table	3.0.4	prod	-
math-intrinsics	1.1.0	dev	-
mdast-util-directive	3.1.0	prod	-
mdast-util-find-and-replace	3.0.2	prod	-
mdast-util-from-markdown	2.0.3	prod	-
mdast-util-gfm	3.1.0	prod	-
mdast-util-gfm-autolink-literal	2.0.1	prod	-
mdast-util-gfm-footnote	2.1.0	prod	-
mdast-util-gfm-strikethrough	2.0.0	prod	-
mdast-util-gfm-table	2.0.0	prod	-
mdast-util-gfm-task-list-item	2.0.0	prod	-
mdast-util-math	3.0.0	prod	-
mdast-util-mdx-expression	2.0.1	prod	-
mdast-util-mdx-jsx	3.2.0	prod	-
mdast-util-mdxjs-esm	2.0.1	prod	-
mdast-util-newline-to-break	2.0.0	prod	-
mdast-util-phrasing	4.1.0	prod	-
mdast-util-to-hast	13.2.1	prod	-
mdast-util-to-markdown	2.1.2	prod	-
mdast-util-to-string	4.0.0	prod	-
memfs	4.78.1	dev	-
micromark	4.0.2	prod	-
micromark-core-commonmark	2.0.3	prod	-
micromark-extension-directive	3.0.2	prod	-
micromark-extension-gfm	3.0.0	prod	-
micromark-extension-gfm-autolink-literal	2.1.0	prod	-
micromark-extension-gfm-footnote	2.1.0	prod	-
micromark-extension-gfm-strikethrough	2.1.0	prod	-
micromark-extension-gfm-table	2.1.2	prod	-
micromark-extension-gfm-tagfilter	2.0.0	prod	-
micromark-extension-gfm-task-list-item	2.1.0	prod	-
micromark-extension-math	3.1.0	prod	-
micromark-factory-destination	2.0.1	prod	-
micromark-factory-label	2.0.1	prod	-
micromark-factory-space	2.0.1	prod	-
micromark-factory-title	2.0.1	prod	-
micromark-factory-whitespace	2.0.1	prod	-
micromark-util-character	2.1.1	prod	-
micromark-util-chunked	2.0.1	prod	-
micromark-util-classify-character	2.0.1	prod	-
micromark-util-combine-extensions	2.0.1	prod	-
micromark-util-decode-numeric-character-reference	2.0.2	prod	-
micromark-util-decode-string	2.0.1	prod	-
micromark-util-encode	2.0.1	prod	-
micromark-util-html-tag-name	2.0.1	prod	-
micromark-util-normalize-identifier	2.0.1	prod	-
micromark-util-resolve-all	2.0.1	prod	-
micromark-util-sanitize-uri	2.0.1	prod	-
micromark-util-subtokenize	2.1.0	prod	-
